binary_name,dependency_name
libmemphys.so,libc.so.3
libminiopenkode.cpp-ne.so,libcpp-ne.so.4
libminiopenkode.cpp-ne.so,libc.so.3
libminiopenkode.so,libcpp-ne.so.4
libminiopenkode.so,libc.so.3
libmldr.cpp-ne.so,libcpp-ne.so.4
libmldr.cpp-ne.so,libc.so.3
libmldr.so,libcpp-ne.so.4
libmldr.so,libc.so.3
libmodes.so.0,libc.so.3
libmv2trace.so,libbacktrace.so.1
libmv2trace.so,libsocket.so.3
libmv2trace.so,libcpp-ne.so.4
libmv2trace.so,libc.so.3
libnbthdcp.so,libcpp-ne.so.4
libnbthdcp.so,libc.so.3
libpgsz.so,libc.so.3
libpopt.so.0,libc.so.3
libproc_tracker.so,libc.so.3
librammon.so,libc.so.3
librrl_checker.so,libc.so.3
libscreen_X_client.cpp-ne.so,libcommunication.cpp-ne.so
libscreen_X_client.cpp-ne.so,libcpp-ne.so.4
libscreen_X_client.cpp-ne.so,libc.so.3
libscreen_X.cpp-ne.so,libilmClient.cpp-ne.so.1
libscreen_X.cpp-ne.so,libcommunication.cpp-ne.so
libscreen_X.cpp-ne.so,libbacktrace.so.1
libscreen_X.cpp-ne.so,libcpp-ne.so.4
libscreen_X.cpp-ne.so,libc.so.3
libsimload.so,libcpp-ne.so.4
libsimload.so,libc.so.3
libslogspy.so,libc.so.3
libsnoopy.so,libc.so.3
libsqlite3.so.8,libc.so.3
libsrm_client_cmd.so,libsrm_client.so
libsrm_client_cmd.so,libc.so.3
libsrm_client.so,libc.so.3
libsrmwrapper.so,libc.so.3
libsys_colibry.cpp-ne.so.7,libbacktrace.so.1
libsys_colibry.cpp-ne.so.7,libcpp-ne.so.4
libsys_colibry.cpp-ne.so.7,libc.so.3
libsys_colibry.gpp.so.7,libbacktrace.so.1
libsys_colibry.gpp.so.7,libstdc++.so.6
libsys_colibry.gpp.so.7,libm.so.2
libsys_colibry.gpp.so.7,libc.so.3
libsys_colibry_net.cpp-ne.so.7,libsys_colibry.cpp-ne.so.7
libsys_colibry_net.cpp-ne.so.7,libbacktrace.so.1
libsys_colibry_net.cpp-ne.so.7,libsocket.so.3
libsys_colibry_net.cpp-ne.so.7,libcpp-ne.so.4
libsys_colibry_net.cpp-ne.so.7,libc.so.3
libsys_colibry_net.gpp.so.7,libsys_colibry.gpp.so.7
libsys_colibry_net.gpp.so.7,libbacktrace.so.1
libsys_colibry_net.gpp.so.7,libsocket.so.3
libsys_colibry_net.gpp.so.7,libstdc++.so.6
libsys_colibry_net.gpp.so.7,libm.so.2
libsys_colibry_net.gpp.so.7,libc.so.3
libsys_data_hbsystime_1_1.so,libcpp-ne.so.4
libsys_data_hbsystime_1_1.so,libc.so.3
libsys_data_pf_dms_containers.cpp-ne.so,libcpp-ne.so.4
libsys_data_pf_dms_containers.cpp-ne.so,libc.so.3
libsys_data_pf_dms_containers.so,libcpp-ne.so.4
libsys_data_pf_dms_containers.so,libc.so.3
libsys_data_pf_dms_facade.cpp-ne.so,libcpp-ne.so.4
libsys_data_pf_dms_facade.cpp-ne.so,libc.so.3
libsys_data_pf_dms_facademocca.cpp-ne.so,libcpp-ne.so.4
libsys_data_pf_dms_facademocca.cpp-ne.so,libc.so.3
libsys_data_prj_nbt_systemsettings2_cbmapping.cpp-ne.so,libcpp-ne.so.4
libsys_data_prj_nbt_systemsettings2_cbmapping.cpp-ne.so,libc.so.3
libsys_data_systemsettings_containers.cpp-ne.so,libsys_colibry.cpp-ne.so.7
libsys_data_systemsettings_containers.cpp-ne.so,libcpp-ne.so.4
libsys_data_systemsettings_containers.cpp-ne.so,libc.so.3
libsys_data_systemsettings_containers.gpp.so,libsys_colibry.gpp.so.7
libsys_data_systemsettings_containers.gpp.so,libstdc++.so.6
